"filename", "language", "Dart", "comment", "blank", "total"
"/Users/alljavi/Documents/codigo/tucomunidad/lib/main.dart", "Dart", 202, 0, 13, 215
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/addComunity.dart", "Dart", 76, 1, 7, 84
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/create.dart", "Dart", 75, 1, 6, 82
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/createPost.dart", "Dart", 109, 1, 10, 120
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/createReunion.dart", "Dart", 260, 2, 14, 276
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/createVotacion.dart", "Dart", 132, 1, 10, 143
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/home.dart", "Dart", 139, 1, 12, 152
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/instalaciones.dart", "Dart", 111, 1, 11, 123
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/login.dart", "Dart", 164, 1, 16, 181
"/Users/alljavi/Documents/codigo/tucomunidad/lib/pages/notifications.dart", "Dart", 89, 1, 11, 101
"/Users/alljavi/Documents/codigo/tucomunidad/lib/streams/appbar.dart", "Dart", 11, 1, 5, 17
"/Users/alljavi/Documents/codigo/tucomunidad/lib/widgets/instalaciones.dart", "Dart", 277, 1, 11, 289
"/Users/alljavi/Documents/codigo/tucomunidad/lib/widgets/post.dart", "Dart", 192, 6, 8, 206
"/Users/alljavi/Documents/codigo/tucomunidad/lib/widgets/reuniones.dart", "Dart", 121, 1, 6, 128
"/Users/alljavi/Documents/codigo/tucomunidad/lib/widgets/votaciones.dart", "Dart", 143, 1, 7, 151
"Total", "-", 2101, 20, 147, 2268